Brand	Mold	Type	Speed	Glide	Turn	Fade	In Prod.	Date Approved	Max Weight (gr)	Diameter (cm)	Height (cm)	Rim Depth (cm)	Inside Rim Diameter (cm)	Rim Thickness (cm)	Rim Depth / Diameter Ratio (%)	Rim Configuration	Flexibility (kg)	Certification Number
ABC Discs	Bee Line	Distance	14.0	5.0	-3.0	2.0	Yes	2012-09-12	175.1	21.1	1.6	1.1	16.2	2.5	5.2	26.25	8.39	12-36
ABC Discs	Flying Squirrel	Midrange	6.0	5.0	-3.0	2.0	Yes	2010-05-29	181.8	21.9	2.0	1.4	19.4	1.3	6.4	30.75	3.52	10-13
ABC Discs	Mission	Midrange	4.0	5.0	-1.0	2.0	Yes	2010-07-27	180.9	21.8	2.0	1.4	19.4	1.2	6.4	39.25	6.12	10-22
ABC Discs	Money	Putter	2.0	3.0	0.0	2.0	Yes	2010-04-09	174.3	21.0	2.2	1.7	19.0	1.0	8.1	56.5	11.11	10-08
ABC Discs	Secret Weapon	Distance	10.0	5.0	-3.0	2.0	Yes	2010-05-29	175.1	21.1	2.0	1.1	17.3	1.9	5.2	26.75	7.26	10-14
Above Ground Level	Cypress	Distance	12.0	5.0	-2.0	2.0	Yes	2017-04-03	176.0	21.2	1.5	1.1	16.7	2.2	5.2	26.75	7.03	17-37
Above Ground Level	Madrone	Putter	3.0	3.0	0.0	1.0	Yes	2018-11-23	174.3	21.0	2.2	1.7	19.0	1.0	8.1	83.5	8.16	18-81
Above Ground Level	Manzanita	Putter	3.0	3.0	0.0	2.0	Yes	2018-11-23	174.3	21.0	2.1	1.6	18.7	1.1	7.6	67.0	9.41	18-82
Aerobie	Epic Driver	Distance	11.0	3.0	-2.0	4.0	Yes	2003-04-16	175.1	21.1	1.4	1.1	14.5	4.1	5.2	26.5	12.02	03-07
AquaFlight Discs	Dragonfly	Midrange	5.0	4.0	-3.0	1.0	Yes	2015-02-06	174.3	21.0	1.6	1.1	19.1	1.4	5.2	43.0	8.05	15-24
AquaFlight Discs	Osprey	Distance	12.0	4.0	-1.0	2.0	Yes	2016-01-07	174.3	21.0	1.6	1.2	16.4	2.3	5.7	28.0	11.91	16-02
AquaFlight Discs	Peace Frog	Putter	3.0	3.0	0.0	1.0	Yes	2015-02-06	174.3	21.0	2.2	1.6	19.1	1.0	7.6	63.75	5.67	15-25
AquaFlight Discs	Pelican	Fairway	6.0	5.0	-3.0	1.0	Yes	2016-01-07	175.1	21.1	2.0	1.2	17.7	1.7	5.7	29.5	9.19	16-03
AquaFlight Discs	Swift	Fairway	7.0	5.0	-2.0	1.0	Yes	2015-02-06	174.3	21.0	1.6	1.1	17.1	1.9	5.2	30.0	12.02	15-26
Arsenal Discs	50 Cal	Distance	10.0	4.0	-2.0	2.0	Yes	2017-07-13	175.1	21.1	1.6	1.2	17.2	2.0	5.7	31.75	9.3	17-83
Arsenal Discs	Air Strike	Distance	12.0	5.0	-3.0	3.0	Yes	2017-07-13	174.3	21.0	1.5	1.2	16.3	2.3	5.7	26.25	7.03	17-84
Arsenal Discs	C4	Putter	3.0	3.0	0.0	1.0	Yes	2017-07-13	175.1	21.1	1.9	1.3	19.1	1.0	6.2	50.0	8.65	17-85
Arsenal Discs	Cyborg	Fairway	9.0	5.0	-4.0	1.0	Yes	2017-07-13	174.3	21.0	1.6	1.2	17.4	1.8	5.7	30.75	8.85	17-86
Arsenal Discs	Morningstar	Midrange	5.0	4.0	-1.0	2.0	Yes	2017-07-13	180.1	21.7	1.9	1.3	19.1	1.3	6.0	43.75	7.71	17-87
Axiom Discs	Alias	Midrange	4.0	4.0	-1.0	1.0	Yes	2014-01-12	178.5	21.5	1.8	1.2	19.1	1.2	5.6	61.5	8.96	14-03
Axiom Discs	Clash	Fairway	6.5	4.0	-1.0	2.0	Yes	2014-06-10	175.1	21.1	1.4	1.1	17.5	1.8	5.2	33.5	9.41	14-54
Axiom Discs	Crave	Fairway 	6.5	5.0	-1.0	1.0	Yes	2014-03-09	175.1	21.1	1.4	1.2	17.4	1.8	5.7	27.75	9.98	14-16
Axiom Discs	Defy	Distance	11.0	5.0	-1.0	3.0	Yes	2016-04-21	175.1	21.1	1.5	1.1	16.7	2.2	5.2	26.0	9.3	16-36
Axiom Discs	Envy	Putter	3.0	3.0	0.0	2.0	Yes	2014-01-12	174.3	21.0	1.8	1.4	18.8	1.1	6.7	52.0	8.73	14-04
Axiom Discs	Excite	Distance	14.5	5.5	-2.0	2.0	Yes	2018-03-25	175.1	21.1	2.1	1.2	15.9	2.5	5.7	27.0	11.91	18-36
Axiom Discs	Fireball	Fairway	9.0	3.5	-0.5	4.0	Yes	2014-12-19	175.1	21.1	1.4	1.1	17.1	2.0	5.2	29.5	9.07	14-94
Axiom Discs	Insanity	Fairway	9.0	5.0	-2.0	1.5	Yes	2014-12-19	175.1	21.1	1.4	1.1	17.0	2.0	5.2	27.0	8.28	14-95
Axiom Discs	Inspire	Fairway	6.5	5.0	-1.5	1.0	Yes	2014-03-22	175.1	21.1	1.5	1.2	17.4	1.8	5.7	32.75	9.87	14-20
Axiom Discs	Mayhem	Distance	13.0	5.0	-1.5	2.0	Yes	2017-04-13	176.0	21.2	1.9	1.2	16.3	2.4	5.7	27.5	12.13	17-48
Axiom Discs	Panic	Distance	13.0	4.0	-0.5	3.0	Yes	2017-04-03	175.1	21.1	1.7	1.2	16.3	2.4	5.7	26.25	12.25	17-45
Axiom Discs	Proxy	Putter	3.0	3.0	-1.0	0.5	Yes	2014-09-24	174.3	21.0	1.8	1.5	18.8	1.1	7.1	63.5	6.58	14-74
Axiom Discs	Tantrum	Distance	14.5	5.0	-1.5	3.0	Yes	2018-03-15	175.1	21.1	1.9	1.2	16.0	2.5	5.7	26.75	12.13	18-25
Axiom Discs	Tenacity	Distance	13.0	5.0	-2.5	2.0	Yes	2017-04-13	175.1	21.1	1.9	1.2	16.3	2.4	5.7	26.75	11.57	17-49
Axiom Discs	Theory	Midrange	4.0	4.0	-1.5	1.0	Yes	2014-09-24	178.5	21.5	1.9	1.3	19.1	1.2	6.0	50.0	6.35	14-75
Axiom Discs	Thrill	Distance	11.0	4.0	-1.0	3.0	Yes	2016-04-21	175.1	21.1	1.5	1.1	16.7	2.2	5.2	26.0	9.53	16-37
Axiom Discs	Vanish	Distance	11.0	5.0	-3.0	2.0	Yes	2016-04-06	175.1	21.1	1.5	1.1	16.6	2.2	5.2	27.75	8.98	16-30
Axiom Discs	Virus	Fairway	9.0	5.0	-3.5	1.0	Yes	2014-12-19	176.0	21.2	1.4	1.1	17.0	2.0	5.2	29.5	7.94	14-96
Axiom Discs	Wrath	Fairway	9.0	4.5	-0.5	2.0	Yes	2014-12-19	175.1	21.1	1.4	1.1	17.0	2.0	5.2	30.25	8.05	14-97
Black Zombie Disc Golf	Berzerker	Distance	12.0	4.0	0.0	3.0	Yes	2018-05-31	177.6	21.4	1.6	1.1	17.0	2.2	5.1	29.5	10.55	18-47
Black Zombie Disc Golf	Chainsaw	Putter	3.0	5.0	0.0	1.0	Yes	2016-01-07	174.3	21.0	2.2	1.5	19.1	1.0	7.1	66.5	11.0	16-01
Black Zombie Disc Golf	Crossbow	Midrange	5.0	5.0	-1.0	1.0	Yes	2018-02-26	181.8	21.9	1.6	1.2	19.1	1.4	5.5	32.75	8.85	18-26
Crosslap Discgolf Parks	Credo	Putter	3.0	2.0	0.0	3.0	Yes	2011-06-26	180.1	21.7	2.0	1.6	19.3	1.2	7.4	49.75	7.26	11-30
Crosslap Discgolf Parks	Lucky	Midrange	5.0	5.0	-2.0	1.0	Yes	2012-04-22	180.1	21.7	1.7	1.3	19.1	1.3	6.0	43.5	5.33	12-18
Daredevil Discs	Albatross	Distance	14.0	4.0	0.0	5.0	Yes	2017-04-03	174.3	21.0	1.6	1.1	16.4	2.3	5.2	26.5	8.39	17-43
Daredevil Discs	Beaver	Putter	2.0	3.0	0.0	1.0	Yes	2007-01-19	176.0	21.2	2.2	1.6	19.3	0.9	7.5	50.5	3.97	07-06
Daredevil Discs	Bigfoot	Distance	13.0	5.0	-2.0	2.0	Yes	2012-06-05	175.1	21.1	1.6	1.1	16.1	2.5	5.2	26.0	6.69	12-29
Daredevil Discs	Bighorn	Putter	2.0	3.0	0.0	1.0	Yes	2016-08-25	176.0	21.2	2.2	1.6	19.2	1.5	7.5	67.75	8.62	16-89
Daredevil Discs	Buffalo	Fairway	9.0	4.0	-1.0	5.0	Yes	2014-10-31	174.3	21.0	1.6	1.2	17.0	2.0	5.7	34.0	8.85	14-84
Daredevil Discs	Caribou	Midrange	4.0	5.0	-3.0	1.0	Yes	2007-06-12	180.9	21.8	2.1	1.3	19.3	1.3	6.0	40.75	7.14	07-33
Daredevil Discs	Gray Jay	Distance	14.0	4.0	0.0	5.0	Yes	2017-06-11	174.3	21.0	1.4	1.1	16.3	2.3	5.2	28.5	4.85	17-73
Daredevil Discs	Great Horned Owl	Putter	2.0	3.0	0.0	1.0	Yes	2016-04-21	176.0	21.2	2.2	1.4	19.2	1.0	6.6	62.25	7.14	16-34
Daredevil Discs	Grizzly	Midrange	4.0	4.0	-1.0	2.0	Yes	2007-06-12	181.8	21.9	2.0	1.3	19.3	1.3	5.9	42.25	6.92	07-31
Daredevil Discs	Mammoth	Fairway	9.0	4.0	-1.0	5.0	Yes	2014-10-31	175.1	21.1	1.7	1.2	17.1	2.0	5.7	29.25	5.22	14-85
Daredevil Discs	Merlin	Distance	14.0	4.0	-1.0	5.0	Yes	2017-04-03	174.3	21.0	1.7	1.1	16.4	2.3	5.2	26.0	7.03	17-44
Daredevil Discs	Moose	Midrange	4.0	5.0	0.0	2.0	Yes	2007-06-12	180.9	21.8	2.1	1.3	19.3	1.3	6.0	41.0	4.31	07-32
Daredevil Discs	Ogopogo	Fairway	9.0	4.0	-2.0	5.0	Yes	2014-10-31	175.1	21.1	1.5	1.2	17.1	2.0	5.7	36.75	2.27	14-86
Daredevil Discs	Polar Bear	Putter	2.0	3.0	-1.0	1.0	Yes	2007-06-12	176.0	21.2	2.0	1.5	19.3	1.0	7.1	62.5	4.2	07-30
Daredevil Discs	Pteranodon	Midrange	4.0	6.0	-2.0	1.0	Yes	2017-06-11	179.3	21.6	2.3	1.2	18.8	1.4	5.6	44.5	8.39	17-74
Daredevil Discs	Sabertooth	Fairway	9.0	4.0	0.0	5.0	Yes	2014-10-31	174.3	21.0	1.8	1.2	17.0	2.0	5.7	29.0	7.94	14-87
Daredevil Discs	Sasquatch	Distance	12.0	5.0	-5.0	1.0	Yes	2012-01-29	174.3	21.0	1.7	1.1	16.0	2.5	5.2	26.5	11.23	12-08
Daredevil Discs	Swift Fox	Fairway	9.0	5.0	-3.0	1.0	Yes	2007-01-19	175.1	21.1	1.7	1.2	17.6	1.8	5.7	27.0	7.14	07-04
Daredevil Discs	Timberwolf	Fairway	9.0	6.0	-1.0	0.0	Yes	2007-01-19	175.1	21.1	1.6	1.2	17.5	1.8	5.7	27.0	5.78	07-05
Daredevil Discs	Walrus	Midrange	4.0	5.0	0.0	3.0	Yes	2016-04-21	180.9	21.8	1.9	1.2	19.3	1.3	5.5	48.75	1.81	16-35
Daredevil Discs	Wolverine	Fairway	8.0	5.0	-2.0	2.0	Yes	2007-01-19	176.0	21.2	1.8	1.2	17.5	1.8	5.7	27.5	10.32	07-07
Daredevil Discs	Woodchuck	Putter	2.0	2.0	-1.0	0.0	Yes	2007-01-19	176.0	21.2	2.0	1.5	19.3	0.9	7.1	64.0	1.81	07-08
Daredevil Discs	Yeti	Distance	12.0	6.0	-3.0	1.0	Yes	2012-06-05	175.1	21.1	1.6	1.1	16.1	2.5	5.2	26.0	8.05	12-30
Disc Golf Association	Aftershock	Midrange	5.0	4.0	0.0	2.0	Yes	2009-02-26	178.5	21.5	2.0	1.2	18.9	1.3	5.6	38.0	7.82	09-06
Disc Golf Association	Aftershock (D-Line)	Midrange	5.0	4.0	0.0	2.0	Yes	2009-04-09	178.5	21.5	2.1	1.2	18.9	1.3	5.6	38.0	7.6	09-11
Disc Golf Association	Banzai	Fairway	8.0	4.0	0.0	3.0	Yes	2018-02-26	177.6	21.4	1.7	1.2	17.5	1.9	5.6	30.0	11.34	18-98
Disc Golf Association	Blowfly II	Putter	3.0	2.0	-1.0	1.0	Yes	2008-12-21	180.1	21.7	2.3	1.7	18.9	1.4	7.8	46.6	1.13	08-38
Disc Golf Association	"Blunt ""Blowfly"""	Putter	2.0	2.0	-1.0	2.0	Yes	1996-07-19	178.5	21.5	2.7	1.1	18.5	1.5	5.1	52.5	2.38	96-04
Disc Golf Association	Gumbputt	Putter	2.0	2.0	0.0	2.0	Yes	1986-01-01	180.1	21.7	2.2	1.9	20.2	0.7	8.8	86.75	2.72	86-04
Disc Golf Association	Hellfire	Distance	10.0	1.0	0.0	5.0	Yes	2015-04-20	175.1	21.1	1.6	1.2	16.7	2.2	5.7	29.25	10.43	15-40
Disc Golf Association	Hurricane (Proline)	Distance	12.0	5.0	-1.0	3.0	Yes	2010-08-03	175.1	21.1	1.6	1.2	16.5	2.3	5.7	27.0	12.02	10-23
Disc Golf Association	Hurricane (SP Line)	Distance	12.0	5.0	-1.0	3.0	Yes	2011-02-24	175.1	21.1	1.8	1.2	16.5	2.3	5.7	27.0	10.21	11-08
Disc Golf Association	Pipeline	Fairway	8.0	5.0	0.0	2.0	Yes	2016-06-30	177.6	21.4	1.5	1.1	17.8	1.8	5.1	31.0	10.21	16-60
Disc Golf Association	Powerdrive	Putter	2.0	2.0	-2.0	1.0	Yes	1986-01-01	178.5	21.5	2.6	1.2	18.9	1.3	5.6	38.0	6.12	86-06
Disc Golf Association	Proline Breaker	Midrange	4.0	3.0	0.0	3.0	Yes	2013-02-22	174.3	21.0	1.7	1.2	19.0	1.0	5.7	62.0	12.02	13-10
Disc Golf Association	Quake	Midrange	5.0	3.0	0.0	3.0	Yes	2017-03-08	179.3	21.6	1.7	1.2	18.6	1.5	5.6	40.0	12.25	17-23
Disc Golf Association	Reef (Atlantis)	Putter	2.0	2.0	-1.0	1.0	Yes	2007-12-10	176.0	21.2	2.1	1.4	19.4	0.9	6.6	49.25	7.03	07-49
Disc Golf Association	Sail	Distance	11.0	5.0	-4.0	1.0	Yes	2016-02-25	174.3	21.0	1.9	1.1	17.2	1.9	5.2	29.75	9.75	16-16
Disc Golf Association	Steady	Putter	2.0	4.0	0.0	2.0	Yes	2015-02-06	176.0	21.2	2.0	1.4	19.3	1.0	6.6	56.0	6.92	15-18
Disc Golf Association	Steady - Beadless (BL)	Putter	2.0	4.0	0.0	2.0	Yes	2018-06-21	176.0	21.2	2.5	1.5	19.0	1.1	7.1	64.75	6.92	18-54
Disc Golf Association	Tempest	Distance	13.0	5.0	-3.0	2.0	Yes	2018-08-16	175.1	21.1	1.7	1.1	16.5	2.3	5.2	26.25	9.87	18-64
Disc Golf Association	Titanic	Putter	2.0	2.0	0.0	2.0	Yes	2007-09-19	175.1	21.1	2.2	1.5	19.1	1.0	7.1	63.5	7.03	07-42
Disc Golf Association	Titanic (D-Line)	Putter	2.0	2.0	0.0	2.0	Yes	2011-02-24	174.3	21.0	2.0	1.5	19.0	1.0	7.1	63.5	8.28	11-09
Disc Golf Association	Torrent	Distance	14.0	5.0	-1.0	2.0	Yes	2014-03-25	174.3	21.0	1.5	1.2	16.1	2.4	5.7	27.25	9.75	14-29
Disc Golf Association	Tremor	Midrange	6.0	5.0	-4.0	1.0	Yes	2017-08-29	179.3	21.6	1.7	1.1	18.8	1.4	5.1	39.25	7.48	17-100
Disc Golf Association	Tsunami (D-Line)	Distance	10.0	3.0	0.0	4.0	Yes	2008-12-21	176.0	21.2	1.8	1.2	17.5	1.9	5.7	26.5	12.13	08-39
Disc Golf Association	Undertow (ProLine)	Distance	10.0	4.0	-1.0	1.0	Yes	2012-02-12	178.5	21.5	1.6	1.2	17.3	2.1	5.6	28.25	10.77	12-12
Disc Golf Association	Undertow (SP-line)	Distance	10.0	4.0	-1.0	1.0	Yes	2012-02-03	177.6	21.4	1.8	1.2	17.2	2.1	5.6	28.25	12.02	12-09
Disc King	Lex	Putter	2.0	3.0	0.0	1.0	Yes	2016-11-10	178.5	21.5	2.1	1.6	19.5	1.0	7.4	75.25	12.25	16-72
Discmania	CD (Craze, Control Driver)	Distance	10.0	5.0	-1.0	2.0	Yes	2007-03-08	176.0	21.2	1.3	1.1	17.3	1.9	5.2	28.5	10.43	07-14
Discmania	CD2 (Control Driver)	Fairway	9.0	5.0	-1.0	2.0	Yes	2014-09-05	175.1	21.1	1.9	1.1	17.2	1.9	5.2	30.0	9.75	14-70
Discmania	CD3 (Control Driver)	Distance 	11.0	5.0	-1.0	2.0	Yes	2017-03-08	175.1	21.1	2.0	1.2	16.9	2.1	5.7	31.0	11.24	17-25
Discmania	DD (Hysteria, Distance Driver)	Distance	11.0	5.0	0.0	2.0	Yes	2008-08-26	175.1	21.1	1.6	1.2	16.7	2.2	5.7	30.25	9.19	08-29
Discmania	DD2 (Frenzy, Distance Driver)	Distance	13.0	5.0	-2.0	2.0	Yes	2010-08-18	176.0	21.2	1.5	1.1	16.2	2.5	5.2	26.0	8.28	10-24
Discmania	DDx (Distance Driver)	Distance	12.0	6.0	-1.0	2.0	Yes	2016-02-25	175.1	21.1	1.7	1.1	16.5	2.3	5.2	28.75	11.34	16-21
Discmania	FD (Jackal, Fairway Driver)	Fairway	7.0	6.0	-1.0	1.0	Yes	2011-11-13	176.0	21.2	1.8	1.1	17.5	1.8	5.2	34.75	9.53	11-41
Discmania	FD2 (Fairway Driver)	Fairway	7.0	4.0	0.0	2.0	Yes	2014-03-24	176.0	21.2	2.0	1.1	17.5	1.8	5.2	37.25	11.57	14-22
Discmania	FD2 (retooled Fairway Driver)	Fairway	7.0	4.0	0.0	2.0	Yes	2018-03-29	176.0	21.2	1.6	1.1	17.5	1.8	5.2	33.75	12.13	18-34
Discmania	FD3 (Fairway Driver)	Fairway	9.0	4.0	0.0	3.0	Yes	2015-06-26	176.0	21.2	1.7	1.1	17.2	2.0	5.2	29.75	8.16	15-58
Discmania	MD (Midrange Driver)	Midrange	4.0	5.0	0.0	0.0	Yes	2015-04-29	180.9	21.8	2.1	1.4	19.0	1.4	6.4	48.25	8.96	15-48
Discmania	MD1 (Midrange Driver)	Midrange	4.0	4.0	0.0	2.0	Yes	2006-11-14	180.1	21.7	2.2	1.3	19.2	1.3	6.0	40.5	8.5	06-47
Discmania	MD2 (Fiend, Midrange Driver)	Midrange	4.0	5.0	0.0	2.0	Yes	2010-04-04	180.1	21.7	2.0	1.4	19.0	1.4	6.5	43.75	6.92	10-05
Discmania	MD3 (Midrange Driver)	Midrange	5.0	5.0	0.0	2.0	Yes	2013-03-29	180.9	21.8	1.9	1.3	19.0	1.4	6.0	44.5	9.19	13-27
Discmania	MD4 (Midrange Driver)	Midrange	5.0	4.0	0.0	3.0	Yes	2017-04-21	180.1	21.7	1.6	1.4	18.9	1.4	6.5	51.25	11.11	17-55
Discmania	MD5 (Midrange Driver)	Midrange	5.0	4.0	0.0	2.0	Yes	2018-03-29	175.1	21.1	1.9	1.3	18.3	1.4	6.2	62.25	11.91	18-35
Discmania	P1 (Maniac, Putt & Approach)	Putter	2.0	3.0	0.0	0.0	Yes	2007-03-08	176.0	21.2	2.0	1.5	19.3	0.9	7.1	56.0	6.01	07-12
Discmania	P1x (Beaded Putter)	Putter	2.0	3.0	0.0	0.0	Yes	2014-10-21	176.0	21.2	2.0	1.4	19.0	1.0	6.6	68.5	7.71	14-81
Discmania	P2 (Psycho, Pro Putter)	Putter	2.0	3.0	0.0	1.0	Yes	2007-03-08	176.0	21.2	2.1	1.5	19.2	1.0	7.1	58.25	7.03	07-13
Discmania	P3 (Putt & Approach)	Putter	3.0	2.0	0.0	3.0	Yes	2013-02-13	176.0	21.2	2.0	1.2	19.2	1.0	5.7	59.0	9.3	13-09
Discmania	P3x (Putt & Approach)	Putter	3.0	2.0	0.0	3.0	Yes	2016-06-26	176.0	21.2	1.9	1.6	19.0	1.1	7.5	62.0	7.37	17-79
Discmania	PD (Freak, Power Driver)	Distance	10.0	4.0	0.0	3.0	Yes	2008-07-02	175.1	21.1	1.7	1.2	17.3	1.9	5.7	28.25	11.11	08-22
Discmania	PDx (Power Driver)	Distance	11.0	4.0	0.0	3.0	Yes	2015-12-09	175.1	21.1	1.9	1.2	16.9	2.1	5.7	30.5	11.23	15-81
Discmania	PD2 (Chaos, Power Driver)	Distance	12.0	4.0	0.0	4.0	Yes	2010-12-03	175.1	21.1	1.9	1.2	16.4	2.4	5.7	27.25	12.25	10-40
Discmania	TD (Rush, Turn Driver)	Distance	10.0	5.0	-2.0	1.0	Yes	2010-04-04	176.0	21.2	1.6	1.1	17.3	1.9	5.2	27.5	8.05	10-06
Discmania	TD2 (Fever, Turn Driver)	Distance	10.0	5.0	-4.0	1.0	Yes	2012-09-12	175.1	21.1	1.6	1.1	16.9	2.1	5.2	30.25	10.77	12-37
Discmania	TDx (Turn Driver)	Fairway	9.0	5.0	-3.0	1.0	Yes	2017-04-21	175.1	21.1	1.5	1.2	17.2	2.0	5.7	30.5	11.45	17-56
Discraft	APX	Putter	2.0	3.0	-1.0	1.0	Yes	1999-01-29	174.3	21.0	2.3	1.4	19.2	0.9	6.7	49.25	7.03	99-01
Discraft	Archer	Midrange	6.0	5.0	-3.0	1.0	Yes	2016-12-07	178.5	21.5	1.8	1.1	18.5	1.5	5.1	36.0	7.94	16-78
Discraft	Avenger	Distance	10.0	5.0	0.0	3.0	Yes	2005-05-03	176.0	21.2	1.7	1.2	17.4	1.9	5.7	26.25	12.25	05-08
Discraft	Avenger-SS	Distance	10.0	5.0	-3.0	1.0	Yes	2008-02-21	177.6	21.4	1.8	1.2	17.6	1.9	5.6	29.25	11.0	08-04
Discraft	Banger-GT	Putter	2.0	3.0	0.0	1.0	Yes	2005-10-31	176.0	21.2	2.0	1.6	19.2	1.0	7.5	65.75	7.6	05-19
Discraft	Buzzz	Midrange	5.0	4.0	-1.0	1.0	Yes	2003-09-30	180.1	21.7	1.9	1.3	19.3	1.2	6.0	44.0	6.24	03-15
Discraft	Buzzz OS	Midrange	5.0	4.0	0.0	3.0	Yes	2014-07-19	180.1	21.7	1.7	1.2	19.1	1.3	5.5	45.75	8.28	14-58
Discraft	Buzzz-SS	Midrange	5.0	4.0	-2.0	1.0	Yes	2008-02-21	179.3	21.6	2.1	1.3	19.0	1.3	6.0	43.5	9.87	08-06
Discraft	Buzzz-GT	Midrange	5.0	5.0	0.0	1.0	Yes	2008-02-21	178.5	21.5	1.7	1.3	19.0	1.3	6.0	44.0	12.02	08-07
Discraft	Challenger	Putter	2.0	3.0	0.0	2.0	Yes	2003-01-26	174.3	21.0	2.2	1.6	19.0	1.0	7.6	61.5	8.39	03-04
Discraft	Challenger OS	Putter	3.0	5.0	0.0	2.5	Yes	2017-09-26	175.1	21.1	2.0	1.5	18.9	1.0	7.1	61.0	8.05	17-107
