Brand	Mold	Type	Speed	Glide	Turn	Fade	In Prod.	Date Approved	Max Weight (gr)	Diameter (cm)	Height (cm)	Rim Depth (cm)	Inside Rim Diameter (cm)	Rim Thickness (cm)	Rim Depth / Diameter Ratio (%)	Rim Configuration	Flexibility (kg)	Certification Number
Prodiscus	Sparta	Putter	3.0	3.0	0.0	0.5	Yes	2014-10-21	176.8	21.3	2.0	1.6	19.2	1.0	7.5	59.75	5.78	14-82
Prodiscus	Titan	Distance	10.0	4.0	0.0	3.0	Yes	2014-11-13	176.0	21.2	1.6	1.2	17.3	1.9	5.7	32.75	9.53	14-88
Reptilian Disc Golf	Gila	Midrange	5.0	4.0	0.0	3.0	Yes	2017-08-19	174.3	21.0	1.6	1.2	19.2	1.4	5.7	36.5	11.23	17-91
Reptilian Disc Golf	Scale	Putter	2.0	1.0	0.0	3.0	Yes	2014-12-18	174.3	21.0	2.2	1.5	19.0	1.0	7.1	68.0	10.43	14-92
Reptilian Disc Golf	Serpent	Putter	2.0	2.0	0.0	0.0	Yes	2015-02-06	174.3	21.0	2.2	1.5	19.1	1.0	7.1	86.75	4.88	15-16
Reptilian Disc Golf	Stego	Putter	3.0	1.0	1.0	4.0	Yes	2016-04-06	176.8	21.3	1.8	1.2	19.3	1.0	5.6	74.0	9.19	16-29
Reptilian Disc Golf	Tyrant	Fairway	7.0	3.0	0.0	2.5	Yes	2016-06-16	176.0	21.2	1.4	1.1	17.6	1.8	5.2	28.0	8.62	16-57
RPM Discs/Disc Golf Aotearoa	Kahu (DGD2)	Distance	13.0	5.0	-1.5	3.0	Yes	2015-01-28	174.3	21.0	1.5	1.1	16.2	2.4	5.2	31.5	10.87	15-21
RPM Discs/Disc Golf Aotearoa	Kea (MR2)	Fairway	10.0	5.0	-2.0	2.0	Yes	2018-02-26	176.0	21.2	1.9	1.4	18.0	1.4	6.6	62.75	11.11	18-37
RPM Discs/Disc Golf Aotearoa	Kiwi (DGD1, former Raptor)	Distance	10.0	5.0	-1.0	2.0	Yes	2006-08-23	175.1	21.1	1.4	1.2	17.1	2.0	5.7	26.25	8.05	06-34
RPM Discs/Disc Golf Aotearoa	Ruru (PA2)	Putter	3.0	3.0	0.0	1.0	Yes	2016-12-29	174.3	21.0	2.3	1.6	18.9	1.0	7.6	72.75	8.28	16-85
RPM Discs/Disc Golf Aotearoa	Temoko (DGR2)	Midrange	3.0	4.0	0.0	0.0	Yes	2006-08-23	196.7	23.7	2.9	2.3	22.3	0.7	9.7	74.5	9.53	06-36
RPM Discs/Disc Golf Aotearoa	Tui (PA1)	Putter	3.0	4.0	-1.0	0.0	Yes	2006-08-23	175.1	21.1	1.8	1.4	19.3	0.9	6.6	44.25	4.76	06-35
Skyquest Discs	Chainzilla	Putter	2.0	3.0	-1.0	1.0	Yes	2014-10-17	176.0	21.2	2.2	1.7	19.2	1.0	8.0	56.0	4.42	14-80
Skyquest Discs	L13 (retooled)	Distance	10.0	5.0	-3.0	2.0	Yes	2012-03-25	175.1	21.1	1.5	1.1	16.9	2.1	5.2	26.75	6.35	12-17
Skyquest Discs	Medusa	Distance	11.0	5.0	-2.0	2.0	Yes	2011-03-21	176.0	21.2	1.5	1.1	17.0	2.1	5.2	29.25	5.33	11-13
Storm Disc Golf	Jet Stream	Distance	12.0	5.0	-1.0	3.0	Yes	2018-10-01	174.3	21.0	1.7	1.2	16.5	2.3	5.7	26.5	8.28	18-68
Storm Disc Golf	The Crater	Putter	3.0	2.0	0.0	3.0	Yes	2018-10-01	175.1	21.1	1.8	1.3	19.0	1.1	6.2	79.25	7.71	18-69
Storm Disc Golf	The Eye	Midrange	5.0	5.0	-1.0	1.0	Yes	2018-10-01	181.8	21.9	1.8	1.2	19.0	1.4	5.5	46.75	8.96	18-70
TOBU Discs	Charge	Fairway	9.0	4.0	-1.0	2.0	Yes	2015-05-28	175.1	21.1	1.5	1.1	17.6	1.7	5.2	27.0	8.39	15-56
TOBU Discs	Power Roller (renamed from Kyng Roller)	Fairway	8.0	4.0	-3.0	1.0	Yes	2015-08-17	175.1	21.1	1.4	1.1	17.5	1.8	5.2	29.5	7.94	15-63
UB Disc Golf	Lex	Putter	2.0	3.0	0.0	1.0	Yes	2014-05-13	177.6	21.4	2.1	1.6	19.6	0.9	7.5	77.0	4.54	14-43
Viking Discs	Axe	Midrange	4.0	3.0	0.0	1.0	Yes	2016-12-29	176.0	21.2	2.0	1.3	19.2	1.0	6.1	57.0	8.16	16-86
Viking Discs	Barbarian	Fairway	7.0	5.0	0.0	2.0	Yes	2017-10-08	176.8	21.3	1.8	1.2	17.6	1.9	5.6	35.75	11.68	17-113
Viking Discs	Berserker	Distance	10.0	5.0	-4.0	1.0	Yes	2017-01-17	176.0	21.2	1.7	1.2	17.0	2.1	5.7	28.75	9.53	17-01
Viking Discs	Cosmos	Fairway	7.0	5.0	-2.0	1.0	Yes	2016-12-29	174.3	21.0	1.6	1.1	17.4	1.8	5.2	28.5	9.41	16-87
Viking Discs	Knife	Putter	2.0	3.0	0.0	2.0	Yes	2016-12-29	175.1	21.1	1.9	1.3	19.1	1.0	8.5	58.75	10.32	16-88
Viking Discs	Loki	Midrange	4.0	2.0	0.0	4.0	Yes	2017-10-08	177.6	21.4	1.9	1.3	18.5	1.5	6.1	44.5	8.62	17-114
Viking Discs	Nordic Warrior	Midrange	4.0	4.0	0.0	2.0	Yes	2017-01-17	178.5	21.5	2.0	1.4	18.7	1.4	6.5	36.0	12.25	17-04
Viking Discs	Ragnarok	Distance	11.0	5.0	-2.0	1.0	Yes	2017-03-08	176.0	21.2	2.1	1.1	16.9	2.1	5.2	27.75	9.53	17-26
Viking Discs	Rune	Putter	2.0	4.0	0.0	0.0	Yes	2017-01-17	176.0	21.2	2.1	1.6	19.0	1.1	7.5	55.5	9.07	17-02
Viking Discs	Thunder God Thor	Distance	14.0	5.0	0.0	2.0	Yes	2017-01-17	174.3	21.0	1.7	1.2	16.0	2.5	5.7	28.0	12.02	17-03
Viking Discs	Valhalla	Distance	12.0	5.0	0.0	2.0	Yes	2017-10-08	176.8	21.3	2.0	1.2	16.8	2.2	5.6	28.0	8.96	17-115
Westside Golf Discs	Ahti	Fairway	9.0	3.0	0.0	4.0	Yes	2017-03-23	176.0	21.2	1.7	1.1	17.2	2.0	5.2	28.75	9.98	17-34
Westside Golf Discs	Anvil	Midrange	4.0	2.0	0.0	4.0	Yes	2018-02-08	176.8	21.3	1.8	1.2	18.3	1.5	5.6	41.75	11.57	18-18
Westside Golf Discs	Bard (Laulaja1)	Midrange	5.0	4.0	0.0	3.0	Yes	2015-02-06	180.1	21.7	1.9	1.3	18.8	1.5	6.0	42.5	7.14	15-11
Westside Golf Discs	Boatman (Tuonelan Lautturi1)	Distance	11.0	5.0	0.0	2.0	Yes	2011-03-21	177.6	21.4	1.9	1.3	17.0	2.2	6.1	29.5	10.32	11-12
Westside Golf Discs	Boatman VIP Air (VIP Air Tuonelan Lautturi1)	Distance	11.0	5.0	0.0	2.0	Yes	2014-03-24	177.6	21.4	1.9	1.3	17.0	2.2	6.1	29.5	10.66	14-24
Westside Golf Discs	Catapult (Katapultt1)	Distance	14.0	4.0	-0.5	3.0	Yes	2016-02-25	175.1	21.1	1.6	1.1	16.6	2.3	5.2	27.0	10.87	16-17
Westside Golf Discs	Crown (Kruunu1)	Putter	3.0	4.0	0.0	1.0	Yes	2017-02-22	176.0	21.2	2.0	1.4	19.2	1.0	6.6	54.0	12.02	17-18
Westside Golf Discs	Destiny (Kohtalo1)	Distance	14.0	6.0	-2.0	3.0	Yes	2016-02-25	176.0	21.2	1.6	1.1	16.6	2.3	5.2	28.5	10.66	16-18
Westside Golf Discs	Fortress (Linnoitus1)	Fairway	10.0	4.0	0.0	3.0	Yes	2017-03-23	176.0	21.2	1.5	1.1	17.2	2.0	5.2	28.0	9.64	17-35
Westside Golf Discs	Giant (Vipunen1)	Distance	13.0	4.0	0.0	3.5	Yes	2012-03-25	175.1	21.1	1.7	1.2	16.6	2.3	5.7	29.25	10.89	12-16
Westside Golf Discs	Giant VIP Air (VIP Air Vipunen1)	Distance	13.0	4.0	0.0	3.5	Yes	2013-03-10	175.1	21.1	1.7	1.2	16.6	2.3	5.7	29.25	10.43	13-22
Westside Golf Discs	Harp (Kannel1)	Midrange	4.0	3.0	0.0	3.0	Yes	2013-10-28	176.0	21.2	1.6	1.4	19.0	1.1	6.6	65.0	11.79	13-67
Westside Golf Discs	Hatchet (Sotakipves1)	Fairway	9.0	6.0	-2.0	1.0	Yes	2013-10-28	176.8	21.3	2.0	1.2	17.6	1.9	5.6	27.0	8.96	13-68
Westside Golf Discs	King (Pohjolan Isäntä1)	Distance	14.0	5.0	-1.5	3.0	Yes	2010-11-16	175.1	21.1	1.9	1.1	16.5	2.3	5.2	29.25	10.55	10-36
Westside Golf Discs	King VIP Air (VIP Air Pohjolan Isäntä1)	Distance	14.0	5.0	-1.5	3.0	Yes	2012-10-30	176.0	21.2	1.8	1.1	16.5	2.3	5.2	29.25	8.39	12-43
Westside Golf Discs	Longbowman (Jousimies1)	Fairway	9.0	4.0	0.0	3.0	Yes	2016-02-25	176.8	21.3	1.6	1.1	17.7	1.8	5.2	36.0	10.77	16-19
Westside Golf Discs	Maiden	Putter	3.0	4.0	0.0	1.0	Yes	2018-02-08	176.0	21.2	1.8	1.3	19.2	1.0	6.1	57.75	11.79	18-19
Westside Golf Discs	Northman (Pohjan Poika1)	Fairway	10.0	5.0	-1.0	2.0	Yes	2009-12-03	178.5	21.5	1.7	1.1	17.5	2.0	5.1	28.25	9.64	09-29
Westside Golf Discs	Northman VIP Air (VIP Air Pohjan Poika1)	Fairway	10.0	5.0	-1.0	2.0	Yes	2014-03-24	177.6	21.4	2.0	1.1	17.4	2.0	5.1	28.25	8.96	14-25
Westside Golf Discs	Pine (Hornan Honka1)	Midrange	5.0	4.0	0.0	2.0	Yes	2017-03-23	180.1	21.7	1.9	1.3	18.7	1.5	6.0	39.75	8.28	17-36
Westside Golf Discs	Queen (Pohjolan Emäntä1)	Distance	14.0	5.0	-3.0	2.0	Yes	2016-09-14	176.0	21.2	1.5	1.1	16.6	2.3	5.2	29.5	9.19	16-66
Westside Golf Discs	Sampo	Fairway	10.0	4.0	-1.0	2.0	Yes	2015-05-20	176.0	21.2	1.9	1.2	17.0	2.1	5.7	34.75	7.14	15-51
Westside Golf Discs	Seer (Ennustaja1)	Fairway	7.0	5.0	-2.0	1.0	Yes	2015-02-06	176.0	21.2	1.8	1.1	17.7	1.8	5.2	42.5	7.6	15-12
Westside Golf Discs	Shield (Kilpi1)	Putter	3.0	3.0	0.0	1.0	Yes	2014-03-24	175.1	21.1	2.5	1.4	19.0	1.0	6.6	67.0	5.33	14-26
Westside Golf Discs	Sling (Linko1)	Midrange	5.0	5.0	0.0	1.0	Yes	2016-02-25	180.9	21.8	1.8	1.2	19.3	1.3	5.5	41.0	8.39	16-20
Westside Golf Discs	Stag (Hiiden Hirvi1)	Fairway	8.0	6.0	-1.0	2.0	Yes	2012-10-30	176.0	21.2	1.8	1.2	17.4	1.9	5.7	29.25	9.3	12-40
Westside Golf Discs	Stag VIP Air (VIP Air Hiiden Hirvi1)	Fairway	8.0	6.0	-1.0	2.0	Yes	2013-03-10	175.1	21.1	1.8	1.2	17.3	1.9	5.7	29.25	8.85	13-23
Westside Golf Discs	Sorcerer (Tietäjä1)	Distance	13.0	5.0	-0.5	3.0	Yes	2013-10-28	176.0	21.2	1.6	1.1	16.7	2.3	5.2	32.25	9.64	13-69
Westside Golf Discs	Swan (Tuonelan Joutsen1)	Putter	3.0	3.0	-1.0	0.0	Yes	2010-06-01	175.1	21.1	2.0	1.4	19.0	1.1	6.6	58.5	5.44	10-15
Westside Golf Discs	Swan (retooled, Tuonelan Joutsen1)	Putter	3.0	3.0	-1.0	0.0	Yes	2010-10-12	175.1	21.1	1.9	1.4	19.0	1.1	6.6	55.75	7.82	10-32
Westside Golf Discs	Swan Reborn (Tuonelan Joutsen1)	Putter	3.0	3.0	-2.5	0.0	Yes	2015-02-06	175.1	21.1	1.9	1.3	18.9	1.1	6.2	52.5	2.83	15-23
Westside Golf Discs	Sword (Kalevan Miekka1)	Distance	12.0	5.0	-0.5	2.0	Yes	2011-05-06	176.0	21.2	1.8	1.2	16.8	2.2	5.7	28.75	9.41	11-19
Westside Golf Discs	Sword VIP Air (VIP Air Kalevan Miekka1)	Distance	12.0	5.0	-0.5	2.0	Yes	2013-03-10	175.1	21.1	1.7	1.2	16.7	2.2	5.7	28.75	8.96	13-24
Westside Golf Discs	Tursas (Tursas1)	Midrange	5.0	5.0	-2.0	1.0	Yes	2012-10-30	180.1	21.7	1.7	1.3	18.9	1.4	6.0	42.5	7.82	12-41
Westside Golf Discs	Tursas VIP Air (VIP Air Tursas1)	Midrange	5.0	5.0	-2.0	1.0	Yes	2014-03-24	179.3	21.6	1.7	1.3	18.8	1.4	6.0	42.5	8.73	14-27
Westside Golf Discs	Underworld (Manala1)	Fairway	7.0	6.0	-3.0	1.0	Yes	2012-10-30	176.8	21.3	1.8	1.2	17.4	1.9	5.6	30.25	8.39	12-42
Westside Golf Discs	Underworld VIP Air (VIP Air Manala1)	Fairway	7.0	6.0	-3.0	1.0	Yes	2014-03-24	176.8	21.3	1.6	1.2	17.4	1.9	5.6	30.25	8.85	14-28
Westside Golf Discs	War Horse	Distance	13.0	4.0	0.0	4.0	Yes	2018-02-08	175.1	21.1	1.6	1.2	16.6	2.2	5.7	28.0	12.02	18-20
Westside Golf Discs	Warship (Pursi1)	Midrange	5.0	6.0	0.0	1.0	Yes	2011-12-11	180.1	21.7	2.1	1.3	18.9	1.4	6.0	31.0	8.05	11-47
Westside Golf Discs	Warship VIP Air (VIP Air Pursi1)	Midrange	5.0	6.0	0.0	1.0	Yes	2013-03-10	180.1	21.7	1.9	1.3	18.9	1.4	6.0	31.0	7.37	13-25
Westside Golf Discs	World (Maailma1)	Distance	14.0	4.0	-0.5	3.0	Yes	2013-10-28	176.0	21.2	1.6	1.2	16.3	2.4	5.7	28.0	10.55	13-70
Yikun Sports	Claws (爪)	Putter	1.0	2.0	0.0	0.0	Yes	2014-03-09	176.0	21.2	2.0	1.7	19.4	0.9	8.0	85.0	7.14	14-17
Yikun Sports	Crossbow (Nu, 连弩)	Midrange	4.0	2.0	0.5	4.0	Yes	2018-08-16	176.8	21.3	1.6	1.3	18.2	1.6	6.1	42.75	9.64	18-62
Yikun Sports	Da'e (大鹗)	Distance	13.0	5.0	0.0	2.0	Yes	2014-05-13	174.3	21.0	1.7	1.1	16.2	2.4	5.2	27.5	11.57	14-44
Yikun Sports	Gou (天狗)	Fairway	8.0	5.0	-4.0	1.0	Yes	2014-05-13	176.8	21.3	1.8	1.2	17.4	1.9	5.6	33.75	10.87	14-45
Yikun Sports	Gui (旋龟)	Putter	2.0	3.0	0.0	2.0	Yes	2014-03-09	175.1	21.1	1.8	1.5	19.1	1.0	7.1	59.0	8.39	14-18
Yikun Sports	Hammer (Chui, 战锤)	Putter	2.0	3.0	0.0	3.0	Yes	2018-08-16	175.1	21.1	1.7	1.4	18.5	1.3	6.6	56.25	11.11	18-63
Yikun Sports	Hu (九尾狐)	Fairway	9.0	5.0	-2.5	2.0	Yes	2014-05-13	176.0	21.2	1.8	1.1	17.4	1.9	5.2	31.75	11.34	14-46
Yikun Sports	Jiao (狡)	Fairway	6.0	5.0	-2.5	1.5	Yes	2014-08-26	176.0	21.2	1.6	1.1	18.0	1.6	5.2	32.0	5.56	14-68
Yikun Sports	Jun (鵕鸟)	Distance	11.0	5.0	-1.0	2.0	Yes	2014-05-13	175.1	21.1	2.0	1.2	16.8	2.1	5.7	29.75	11.91	14-47
Yikun Sports	Kui (夔牛)	Midrange	5.0	5.0	0.0	2.0	Yes	2017-09-24	176.0	21.2	2.1	1.3	17.9	1.6	6.1	35.75	9.64	17-103
Yikun Sports	Lu (Luan, 鸾鸟)	Distance	14.0	5.0	-1.0	3.0	Yes	2017-09-24	176.0	21.2	1.4	1.1	16.4	2.4	5.2	31.25	7.94	17-104
Yikun Sports	Twin Swords (双刃剑)	Distance	12.0	5.0	0.0	2.0	Yes	2018-01-19	176.0	21.2	1.9	1.2	16.4	2.4	5.7	26.5	8.05	18-02
Yikun Sports	View (视)	Fairway	6.0	4.0	-1.0	2.0	Yes	2013-01-16	175.1	21.1	2.0	1.2	17.6	1.7	5.7	32.75	9.98	13-76
Yikun Sports	Wei (精卫)	Distance	10.0	5.0	-2.5	2.0	Yes	2014-08-26	175.1	21.1	1.7	1.1	17.1	2.0	5.2	30.25	10.55	14-69
Yikun Sports	Wings (翼)	Midrange	3.0	3.0	0.0	2.0	Yes	2014-03-09	176.0	21.2	1.8	1.2	19.2	1.0	5.7	56.75	7.48	14-19
Yikun Sports	Yao (文鳐鱼)	Midrange	4.0	4.0	0.0	2.0	Yes	2013-11-01	179.3	21.6	1.9	1.4	18.8	1.4	6.5	39.75	12.02	13-72
Axiom Discs	Pyro	Midrange	5.0	4.0	0.0	2.5	Yes	2019-02-13	178.5	21.5	1.6	1.3	18.4	1.6	6.0	42.25	12.05	19-14
Millennium	Falcon	Distance	13.0	5.0	0.0	0.3	Yes	2019-03-20	175.1	21.1	1.4	1.1	16.3	2.4	5.2	30.25	12.25	19-22
Gateway Disc Sports	Blade	Fairway	9.0	5.0	0.0	3.0	Yes	2019-02-13	176.8	21.3	1.5	1.1	17.3	2.0	5.2	34.0	11.71	19-11
Gateway Disc Sports	Spear	Fairway	9.0	6.0	-2.0	1.0	Yes	2019-02-13	176.0	21.2	1.4	1.1	17.3	2.0	5.2	31.25	11.93	19-12
Disc Golf UK	The Duke	Midrange	5.5	4.0	0.0	3.5	Yes	2019-02-13	178.5	21.5	1.9	1.4	18.1	1.7	6.5	35.25	11.14	19-13
Dynamic Discs	Raider	Distance	13.0	5.0	-1.0	3.0	Yes	2019-02-27	176.0	21.2	1.5	1.1	16.3	2.3	5.2	29.25	11.14	19-18
MVP Disc Sports	Entropy	Putter	3.0	3.0	0.0	4.0	Yes	2019-02-27	176.0	21.2	2.0	1.4	18.8	1.2	6.6	31.75	11.7	19-20
Disc Golf UK	The Baron	Midrange	4.0	3.0	0.0	2.5	Yes	2019-03-20	176.0	21.2	2.0	1.6	18.7	2.3	7.5	62.25	10.68	19-23
Storm Disc Golf	Abyss	Fairway	8.0	5.0	0.0	3.0	Yes	2019-04-03	175.1	21.1	1.6	1.1	17.1	2.0	5.2	31.75	11.82	19-35
Discmania	Mentor (originally Sea Serpent)	Distance	12.0	5.0	-2.0	2.0	Yes	2019-04-03	176.0	21.2	1.8	1.2	17.9	2.1	5.7	39.75	11.59	19-32
Discmania	Magician (originally Fox Spirit)	Midrange	6.0	4.0	0.0	2.0	Yes	2019-04-03	176.0	21.2	1.8	1.3	17.9	1.6	6.1	39.75	11.59	19-30
Discmania	Instinct (150-175g)	Fairway	8.0	5.0	0.0	2.0	Yes	2019-02-27	176.0	21.2	1.9	1.1	17.6	1.8	5.2	32.25	11.36	19-19
Discmania	Genius (originally Sun Crow)	Fairway	8.0	5.0	-4.0	1.0	Yes	2019-04-03	175.1	21.1	1.7	1.2	17.7	1.7	5.7	29.5	12.15	19-34
Discmania	Maestro (originally Spring Ox)	Midrange	4.0	3.0	0.0	2.0	Yes	2019-04-03	176.8	21.3	1.7	1.3	19.2	1.0	6.1	55.25	9.43	19-33
Discmania	Guardian Lion	Putter	1.0	3.0	0.0	1.0	Yes	2019-04-03	176.0	21.2	1.8	1.4	19.1	1.0	6.6	59.25	10.68	19-31
Discmania	DD3 (retest)	Distance	12.0	5.0	-1.0	3.0	Yes	2019-04-17	175.1	21.1	1.7	1.1	16.3	2.4	5.7	26.25	12.13	19-38
Streamline	Lift	Fairway	9.0	5.0	-2.0	1.5	Yes	2019-04-17	176.0	21.2	1.7	1.2	17.2	2.0	5.7	28.0	11.93	19-36
Tokyo Discs	Rei (零)	Putter	2.0	5.0	0.0	1.0	Yes	2019-04-17	174.3	21.0	2.1	1.4	18.7	1.1	6.7	50.75	8.18	19-37
Prodigy	MX-3	Midrange	5.0	4.0	0.0	2.0	Yes	2019-05-07	180.1	21.7	1.9	1.3	18.9	1.4	6.0	32.75	6.48	19-42
Above Ground Level	Magnolia	Midrange	5.0	4.0	0.0	2.0	Yes	2019-02-13	180.9	21.8	2.0	1.2	19.0	1.4	5.5	45.5	10.23	19-16
Discmania	Method	Midrange	5.0	5.0	0.0	3.0	Yes	2019-05-01	180.1	21.7	1.9	1.4	19.0	1.3	6.5	44.0	10.23	19-39
Millennium	Draco	Fairway	9.0	5.0	0.0	3.0	Yes	2019-05-01	176.0	21.2	1.4	1.2	17.3	1.9	5.7	35.5	11.14	19-40
Infinite Discs	Scarab	Putter	2.0	4.0	0.0	1.0	Yes	2019-04-03	176.0	21.2	2.1	1.5	19.2	1.0	7.1	62.5	11.02	19-28
Infinite Discs	Scepter	Fairway	9.0	3.0	0.0	4.0	Yes	2019-04-03	176.0	21.2	1.4	1.1	17.3	1.9	5.2	28.25	10.45	19-29
Discmania	Enigma	Distance	13.0	5.0	-1.0	3.0	Yes	2019-05-23	175.1	21.1	1.6	1.1	16.6	2.2	5.2	27.75	11.25	19-45
Mint Discs	Profit	Putter	3.0	3.0	0.0	1.0	Yes	2019-05-23	175.1	21.1	1.9	1.6	18.9	1.1	7.6	65.75	9.66	19-44
Axiom Discs	Delirium	Distance	14.5	5.0	-0.5	3.0	Yes	2019-05-23	175.1	21.1	1.8	1.2	16.0	2.5	5.7	27.0	11.14	19-47
Discmania	Link	Putter	2.0	3.0	0.0	1.0	Yes	2019-05-23	176.0	21.2	1.9	1.5	19.1	1.0	7.0	71.0	7.84	19-46
Black Zombie Disc Golf	Flame Thrower	Distance	11.5	6.0	-2.0	2.0	Yes	2019-06-04	179.3	21.6	1.7	1.2	17.2	2.2	5.6	30.0	10.11	19-48
Yikun Sports	Tomahawk (八卦钺)	Midrange	5.0	6.0	0.0	0.0	Yes	2019-06-19	179.3	21.6	1.9	1.3	19.0	1.3	6.0	34.75	9.55	19-52
Yikun Sports	Meteor Hammer (流星锤)	Putter	2.0	3.0	0.0	0.0	Yes	2019-06-19	176.0	21.2	2.0	1.5	19.2	1.0	7.1	52.5	8.64	19-51
Discraft	Anax	Fairway	10.0	6.0	0.0	3.0	Yes	2019-06-19	177.6	21.4	1.7	1.2	17.5	1.9	5.6	29.75	10.45	19-50
Above Ground Level	Sycamore	Fairway	7.0	5.0	0.0	1.0	Yes	2019-07-10	176.0	21.2	2.2	1.3	17.8	1.7	6.1	32.25	10.8	19-56
Infinite Discs	Cohort	Putter	3.5	4.0	0.0	1.0	Yes	2019-07-10	175.1	21.1	1.8	1.3	19.1	1.0	6.2	58.5	6.25	19-54
Infinite Discs	Centurion	Fairway	7.0	5.0	-1.0	1.5	Yes	2019-07-10	175.1	21.1	1.8	1.2	17.8	1.7	5.7	37.0	8.75	19-53
Disc Golf Association	Rift	Midrange	5.0	4.0	-1.0	1.5	Yes	2019-08-01	179.3	21.6	1.8	1.3	18.6	1.5	6.0	47.0	9.89	19-58
Storm Disc Golf	Radar	Putter	2.0	5.0	0.0	0.5	Yes	2019-09-05	175.1	21.1	2.0	1.5	19.1	1.0	7.1	55.5	8.41	19-62
Discraft	Malta (Paul McBeth Proto Mid-Range)	Midrange	5.0	4.0	1.0	3.0	Yes	2019-09-12	176.8	21.3	1.7	1.3	18.6	1.3	6.1	45.0	10.34	19-64
Mint Discs	Freetail	Distance	10.0	5.0	-3.0	2.0	Coming Soon	2019-09-16	175.1	21.1	1.7	1.2	17.1	2.0	5.7	37.75	11.25	19-63
